,LR,kNN,SVCrbf,SVCpoly1,linSVC1,linSVC2,DT,RF,AdaBoost,MLP1,MLP2,NB,QDA,cnn,prcnn,cnn_full,crnn,crnn2,crnn3,crnn4,crnn5,crnn6,crnn7,crnn4n,cnn_lstm,crnn8,crnn4_conv11,crnn9,crnn10,crnn11
Electronic,0.5321100917431193,0.1238938053097345,0.5911330049261084,0.5915492957746479,0.4979919678714859,0.5296803652968036,0.3681592039800995,0.3251231527093596,0.2127659574468085,0.4842105263157895,0.5410628019323671,0.1034482758620689,0.4712041884816754,0.5545454545454546,0.4743589743589744,0.2153846153846154,0.6111111111111112,0.5254237288135594,0.5288461538461539,0.5789473684210527,0.6341463414634146,0.4532019704433498,0.5797101449275363,0.6597938144329897,0.6180257510729614,0.5541125541125541,0.0,0.6050420168067226,0.5502645502645502,0.5433526011560693
Experimental,0.3474178403755869,0.0384615384615384,0.3891402714932127,0.3707317073170732,0.2894736842105263,0.3608247422680412,0.1343283582089552,0.1506849315068493,0.1276595744680851,0.3438914027149321,0.3410138248847926,0.16,0.1756756756756756,0.3396226415094339,0.3088235294117647,0.167487684729064,0.3536585365853658,0.2911877394636015,0.2840236686390533,0.418848167539267,0.35,0.2645502645502645,0.3508771929824561,0.3116883116883117,0.3137254901960784,0.2769230769230769,0.0,0.23668639053254437,0.3245614035087719,0.3085106382978723
Folk,0.1711229946524064,0.1872340425531914,0.2487562189054726,0.199004975124378,0.1938775510204081,0.1809045226130653,0.3909774436090225,0.3083333333333333,0.3008130081300813,0.2150537634408602,0.1530054644808743,0.2,0.2075471698113208,0.2048780487804878,0.1871921182266008,0.1041666666666666,0.3951612903225806,0.1183431952662721,0.4029304029304029,0.2604166666666667,0.1506849315068493,0.1868131868131868,0.3,0.2196531791907514,0.1575757575757575,0.1685393258426966,0.0,0.15172413793103448,0.2444444444444444,0.2169811320754717
Hip-Hop,0.6530612244897959,0.5454545454545454,0.6990291262135923,0.6956521739130435,0.680628272251309,0.6632653061224489,0.3933333333333333,0.5,0.4940239043824701,0.6403940886699507,0.6943005181347149,0.0373831775700934,0.1694915254237288,0.6513761467889908,0.6866952789699571,0.3898305084745763,0.7307692307692307,0.676923076923077,0.6443514644351465,0.7011952191235059,0.7301587301587301,0.6412213740458015,0.6696035242290749,0.7510917030567685,0.7510917030567685,0.7464114832535885,0.0,0.7342995169082126,0.7211538461538461,0.6923076923076923
Instrumental,0.4555555555555556,0.171875,0.3937823834196891,0.459016393442623,0.4046242774566474,0.4198895027624309,0.4970414201183432,0.4444444444444444,0.2794759825327511,0.3636363636363637,0.4251207729468599,0.1238938053097345,0.2,0.38,0.3905325443786982,0.2254545454545454,0.3289473684210526,0.4943820224719101,0.4046242774566474,0.3908045977011495,0.4444444444444444,0.4022346368715084,0.3478260869565217,0.3294117647058823,0.3703703703703704,0.3681592039800995,0.0,0.4166666666666667,0.3867403314917127,0.3289473684210526
International,0.5,0.3076923076923077,0.47953216374269,0.4945054945054945,0.4329896907216495,0.462962962962963,0.5052631578947369,0.3300970873786408,0.4474885844748858,0.5098039215686274,0.5775401069518716,0.3170731707317073,0.3940886699507389,0.4487179487179487,0.5482233502538071,0.1585365853658536,0.4831460674157304,0.4761904761904762,0.4392523364485981,0.6120218579234973,0.5903614457831325,0.4745762711864407,0.5741626794258373,0.3809523809523809,0.5348837209302325,0.5146198830409356,0.2222222222222222,0.4774193548387097,0.5172413793103449,0.5539906103286385
Pop,0.3027522935779817,0.2463768115942029,0.4141414141414141,0.3880597014925373,0.2755102040816326,0.2487046632124353,0.1349693251533742,0.1129032258064516,0.2170542635658914,0.3636363636363637,0.2990654205607476,0.2557077625570776,0.3058103975535168,0.32,0.3666666666666665,0.065359477124183,0.3346007604562737,0.2365591397849462,0.2597402597402597,0.2175732217573222,0.3333333333333333,0.2488038277511961,0.1837837837837838,0.2833333333333333,0.1928934010152284,0.2535211267605634,0.0,0.28708133971291866,0.0560747663551401,0.2796610169491525
Rock,0.5869565217391305,0.5826086956521739,0.6086956521739131,0.6057692307692307,0.4624277456647399,0.5544554455445545,0.4632768361581921,0.6324786324786325,0.3553299492385787,0.53,0.5,0.5614035087719298,0.4980842911877394,0.5,0.6,0.2934782608695652,0.4927536231884058,0.5376344086021505,0.5529411764705883,0.6,0.6943005181347149,0.5226130653266332,0.5125,0.6111111111111112,0.6066350710900474,0.4752475247524752,0.0,0.6075949367088608,0.5806451612903226,0.5416666666666666
mean,0.443622065266697,0.2754495933397117,0.4780262793770115,0.4755361215423785,0.4046904241597998,0.4275859388478428,0.3609186348070071,0.3505081009572139,0.304326403029944,0.4313283037478609,0.4413886137365285,0.2198637126003264,0.3027377397605494,0.4248925300427894,0.4453115577833086,0.2024622930086337,0.4662684985337188,0.4195804734394991,0.4395887174958562,0.4724758873915576,0.4909287181030774,0.3992518246235476,0.4398079265381511,0.4433794498089411,0.4431501581634305,0.4196917723332487,0.0277777777777777,0.43956429501320876,0.4226407353523916,0.433177215775327
