,LR,kNN,SVCrbf,SVCpoly1,linSVC1,linSVC2,DT,RF,AdaBoost,MLP1,MLP2,NB,QDA,cnn,prcnn,cnn_full,crnn,crnn2,crnn3,crnn4,crnn5,crnn6,crnn7,crnn4n,cnn_lstm,crnn8,crnn4_conv11,crnn9,crnn10,crnn11
Electronic,0.58,0.07,0.6,0.63,0.62,0.58,0.37,0.33,0.2,0.46,0.56,0.06,0.45,0.61,0.37,0.21,0.55,0.62,0.55,0.55,0.78,0.46,0.6,0.64,0.72,0.64,0.0,0.72,0.52,0.47
Experimental,0.37,0.02,0.43,0.38,0.33,0.35,0.09,0.11,0.09,0.38,0.37,0.1,0.13,0.36,0.42,0.1683168316831683,0.29,0.38,0.24,0.4,0.42,0.25,0.4,0.36,0.32,0.27,0.0,0.2,0.37,0.29
Folk,0.16,0.22,0.25,0.2,0.19,0.18,0.52,0.37,0.37,0.2,0.14,0.2,0.22,0.21,0.19,0.1,0.49,0.1,0.55,0.25,0.11,0.17,0.3,0.19,0.13,0.15,0.0,0.11,0.22,0.23
Hip-Hop,0.64,0.75,0.72,0.72,0.65,0.65,0.59,0.6,0.62,0.65,0.67,0.02,0.1,0.71,0.8,0.46,0.76,0.66,0.77,0.88,0.69,0.84,0.76,0.86,0.86,0.78,0.0,0.76,0.75,0.81
Instrumental,0.41,0.11,0.38,0.42,0.35,0.38,0.42,0.46,0.32,0.34,0.44,0.07,0.14,0.38,0.33,0.31,0.25,0.44,0.35,0.34,0.56,0.36,0.32,0.28,0.35,0.37,0.0,0.5,0.35,0.25
International,0.51,0.58,0.41,0.45,0.42,0.5,0.48,0.34,0.49,0.52,0.54,0.78,0.4,0.35,0.54,0.13,0.43,0.45,0.47,0.56,0.49,0.42,0.6,0.28,0.46,0.44,1.0,0.37,0.75,0.59
Pop,0.33,0.17,0.41,0.39,0.27,0.24,0.11,0.07,0.14,0.38,0.32,0.28,0.5,0.36,0.33,0.05,0.44,0.22,0.2,0.26,0.28,0.26,0.17,0.34,0.19,0.27,0.0,0.3,0.03,0.33
Rock,0.54,0.67,0.63,0.63,0.4,0.56,0.41,0.74,0.35,0.53,0.48,0.64,0.65,0.41,0.57,0.27,0.51,0.5,0.47,0.54,0.67,0.52,0.41,0.66,0.64,0.48,0.0,0.72,0.63,0.52
mean,0.4425,0.32375,0.47875,0.4775,0.40375,0.43,0.3737499999999999,0.3774999999999999,0.3225,0.4325,0.44,0.26875,0.32375,0.42375,0.44375,0.212289603960396,0.4649999999999999,0.42125,0.45,0.4725,0.5,0.41,0.445,0.45125,0.45875,0.425,0.125,0.45999999999999996,0.4524999999999999,0.4362499999999999
