,LR,kNN,SVCrbf,SVCpoly1,linSVC1,linSVC2,DT,RF,AdaBoost,MLP1,MLP2,NB,QDA,cnn,prcnn,cnn_full,crnn,crnn2,crnn3,crnn4,crnn5,crnn6,crnn7,crnn4n,cnn_lstm,crnn8,crnn4_conv11,crnn9,crnn10,crnn11
Electronic,0.4915254237288136,0.5384615384615384,0.5825242718446602,0.5575221238938053,0.4161073825503356,0.4873949579831933,0.3663366336633663,0.3203883495145631,0.2272727272727273,0.5111111111111111,0.5233644859813084,0.375,0.4945054945054945,0.5083333333333333,0.6607142857142857,0.2210526315789473,0.6875,0.4558823529411765,0.5092592592592593,0.6111111111111112,0.5342465753424658,0.4466019417475728,0.5607476635514018,0.6808510638297872,0.5413533834586466,0.4885496183206106,0.0,0.5217391304347826,0.5842696629213483,0.6438356164383562
Experimental,0.3274336283185841,0.5,0.3553719008264462,0.3619047619047619,0.2578125,0.3723404255319149,0.2647058823529412,0.2391304347826087,0.2195121951219512,0.3140495867768595,0.3162393162393162,0.4,0.2708333333333333,0.3214285714285714,0.2441860465116279,0.1666666666666666,0.453125,0.2360248447204969,0.3478260869565217,0.4395604395604396,0.3,0.2808988764044944,0.3125,0.2748091603053435,0.3076923076923077,0.2842105263157894,0.0,0.2898550724637681,0.2890625,0.3295454545454545
Folk,0.1839080459770115,0.1629629629629629,0.2475247524752475,0.198019801980198,0.1979166666666666,0.1818181818181818,0.3132530120481928,0.2642857142857143,0.2534246575342466,0.2325581395348837,0.1686746987951807,0.2,0.1964285714285714,0.2,0.1844660194174757,0.108695652173913,0.3310810810810811,0.144927536231884,0.3179190751445087,0.2717391304347826,0.2391304347826087,0.2073170731707317,0.3,0.2602739726027397,0.2,0.1923076923076923,0.0,0.24444444444444444,0.275,0.2053571428571428
Hip-Hop,0.6666666666666666,0.4285714285714285,0.6792452830188679,0.6728971962616822,0.7142857142857143,0.6770833333333334,0.295,0.4285714285714285,0.4105960264900662,0.6310679611650486,0.7204301075268817,0.2857142857142857,0.5555555555555556,0.6016949152542372,0.6015037593984962,0.3382352941176471,0.7037037037037037,0.6947368421052632,0.5539568345323741,0.5827814569536424,0.7752808988764045,0.5185185185185185,0.5984251968503937,0.6666666666666666,0.6666666666666666,0.7155963302752294,0.0,0.7102803738317757,0.6944444444444444,0.6044776119402985
Instrumental,0.5125,0.3928571428571429,0.4086021505376344,0.5060240963855421,0.4794520547945205,0.4691358024691358,0.6086956521739131,0.4299065420560748,0.248062015503876,0.3908045977011495,0.4112149532710279,0.5384615384615384,0.35,0.38,0.4782608695652174,0.1771428571428571,0.4807692307692308,0.5641025641025641,0.4794520547945205,0.4594594594594595,0.3684210526315789,0.4556962025316456,0.3809523809523809,0.4,0.3932584269662921,0.3663366336633663,0.0,0.35714285714285715,0.4320987654320987,0.4807692307692308
International,0.4903846153846154,0.2093862815884477,0.5774647887323944,0.5487804878048781,0.4468085106382978,0.4310344827586207,0.5333333333333333,0.3207547169811321,0.4117647058823529,0.5,0.6206896551724138,0.1989795918367347,0.3883495145631068,0.625,0.5567010309278351,0.203125,0.5512820512820513,0.5056179775280899,0.4122807017543859,0.6746987951807228,0.7424242424242424,0.5454545454545454,0.5504587155963303,0.5957446808510638,0.6388888888888888,0.6197183098591549,0.125,0.6727272727272727,0.3947368421052631,0.5221238938053098
Pop,0.2796610169491525,0.4473684210526316,0.4183673469387755,0.3861386138613861,0.28125,0.2580645161290322,0.1746031746031746,0.2916666666666667,0.4827586206896552,0.3486238532110092,0.2807017543859649,0.2352941176470588,0.2202643171806168,0.288,0.4125,0.0943396226415094,0.2699386503067485,0.2558139534883721,0.3703703703703704,0.1870503597122302,0.4117647058823529,0.2385321100917432,0.2,0.2428571428571428,0.1958762886597938,0.2389380530973451,0.0,0.27522935779816515,0.4285714285714285,0.2426470588235294
Rock,0.6428571428571429,0.5153846153846153,0.5887850467289719,0.5833333333333334,0.547945205479452,0.5490196078431373,0.5324675324675324,0.5522388059701493,0.3608247422680412,0.53,0.5217391304347826,0.5,0.4037267080745341,0.640625,0.6333333333333333,0.3214285714285714,0.4766355140186916,0.5813953488372093,0.6714285714285714,0.675,0.7204301075268817,0.5252525252525253,0.6833333333333333,0.5689655172413793,0.5765765765765766,0.4705882352941176,0.0,0.5255474452554745,0.5384615384615384,0.5652173913043478
mean,0.4493670674852483,0.3993740488598459,0.4822356926378747,0.4768275519281984,0.4176972543018734,0.4282364134833186,0.3860494025803067,0.3558678323535422,0.3267769613453646,0.4322769061875077,0.4453817627258595,0.3416811917074522,0.3599579368301515,0.4456352275020178,0.4714581681085339,0.203835786968764,0.4942544038951884,0.429812677494382,0.457811619280064,0.4876750940515485,0.5114622521833168,0.4022839741464721,0.44830216128548,0.4612710255442654,0.4400390673636465,0.4220306748916632,0.015625,0.4496207442623176,0.4545806477420152,0.4492466750604587
