,LR,kNN,SVCrbf,SVCpoly1,linSVC1,linSVC2,DT,RF,AdaBoost,MLP1,MLP2,NB,QDA,cnn,prcnn,cnn_full,crnn,crnn2,crnn3,crnn4,crnn5,crnn6,crnn7,crnn4n,cnn_lstm,crnn8,crnn4_conv11,crnn9,crnn10,crnn11
Electronic,0.0857142857142857,0.0085714285714285,0.0614285714285714,0.0714285714285714,0.1242857142857142,0.0871428571428571,0.0914285714285714,0.1,0.0971428571428571,0.0628571428571428,0.0728571428571428,0.0142857142857142,0.0657142857142857,0.0842857142857142,0.0271428571428571,0.1055634807417974,0.0357142857142857,0.1057142857142857,0.0757142857142857,0.05,0.0971428571428571,0.0814285714285714,0.0671428571428571,0.0428571428571428,0.0871428571428571,0.0957142857142857,0.0,0.09428571428571429,0.0528571428571428,0.0371428571428571
Experimental,0.1085714285714285,0.0028571428571428,0.1114285714285714,0.0957142857142857,0.1357142857142857,0.0842857142857142,0.0357142857142857,0.05,0.0457142857142857,0.1185714285714285,0.1142857142857142,0.0214285714285714,0.05,0.1085714285714285,0.1857142857142856,0.1214285714285714,0.05,0.1757142857142857,0.0642857142857142,0.0728571428571428,0.14,0.0914285714285714,0.1257142857142857,0.1357142857142857,0.1028571428571428,0.0971428571428571,0.0,0.07,0.13,0.0842857142857142
Folk,0.1014285714285714,0.1614285714285714,0.1085714285714285,0.1157142857142857,0.11,0.1157142857142857,0.1628571428571428,0.1471428571428571,0.1557142857142857,0.0942857142857142,0.0985714285714285,0.1142857142857142,0.1285714285714285,0.12,0.12,0.1169757489300998,0.1414285714285714,0.0842857142857142,0.1685714285714285,0.0957142857142857,0.05,0.0928571428571428,0.1,0.0771428571428571,0.0742857142857142,0.09,0.0,0.04857142857142857,0.0828571428571428,0.1271428571428571
Hip-Hop,0.0457142857142857,0.1428571428571428,0.0485714285714285,0.05,0.0371428571428571,0.0442857142857142,0.2014285714285714,0.1142857142857142,0.1271428571428571,0.0542857142857142,0.0371428571428571,0.0071428571428571,0.0114285714285714,0.0671428571428571,0.0757142857142857,0.1283880171184022,0.0457142857142857,0.0414285714285714,0.0885714285714285,0.09,0.0285714285714285,0.1114285714285714,0.0728571428571428,0.0614285714285714,0.0614285714285714,0.0442857142857142,0.0,0.04428571428571428,0.0471428571428571,0.0757142857142857
Instrumental,0.0557142857142857,0.0242857142857142,0.0785714285714285,0.0585714285714285,0.0542857142857142,0.0614285714285714,0.0385714285714285,0.0871428571428571,0.1385714285714285,0.0757142857142857,0.09,0.0085714285714285,0.0371428571428571,0.0885714285714285,0.0514285714285714,0.2054208273894436,0.0385714285714285,0.0485714285714285,0.0542857142857142,0.0571428571428571,0.1371428571428571,0.0614285714285714,0.0742857142857142,0.06,0.0771428571428571,0.0914285714285714,0.0,0.12857142857142856,0.0657142857142857,0.0385714285714285
International,0.0757142857142857,0.3128571428571428,0.0428571428571428,0.0528571428571428,0.0742857142857142,0.0942857142857142,0.06,0.1028571428571428,0.1,0.0742857142857142,0.0471428571428571,0.4485714285714285,0.09,0.03,0.0614285714285714,0.0727532097004279,0.05,0.0628571428571428,0.0957142857142857,0.0385714285714285,0.0242857142857142,0.05,0.07,0.0271428571428571,0.0371428571428571,0.0385714285714285,1.0,0.025714285714285714,0.1642857142857142,0.0771428571428571
Pop,0.1214285714285714,0.03,0.0814285714285714,0.0885714285714285,0.0985714285714285,0.0985714285714285,0.0742857142857142,0.0242857142857142,0.0214285714285714,0.1014285714285714,0.1171428571428571,0.13,0.2528571428571428,0.1271428571428571,0.0671428571428571,0.0684736091298145,0.17,0.0914285714285714,0.0485714285714285,0.1614285714285714,0.0571428571428571,0.1185714285714285,0.0971428571428571,0.1514285714285714,0.1114285714285714,0.1228571428571428,0.0,0.11285714285714285,0.0057142857142857,0.1471428571428571
Rock,0.0428571428571428,0.09,0.0628571428571428,0.0642857142857142,0.0471428571428571,0.0657142857142857,0.0514285714285714,0.0857142857142857,0.0885714285714285,0.0671428571428571,0.0628571428571428,0.0914285714285714,0.1371428571428571,0.0328571428571428,0.0471428571428571,0.0813124108416547,0.08,0.0514285714285714,0.0328571428571428,0.0371428571428571,0.0371428571428571,0.0671428571428571,0.0271428571428571,0.0714285714285714,0.0671428571428571,0.0771428571428571,0.0,0.09285714285714286,0.0771428571428571,0.0571428571428571
mean,0.0796428571428571,0.0966071428571428,0.0744642857142857,0.0746428571428571,0.0851785714285714,0.0814285714285714,0.0894642857142857,0.0889285714285714,0.0967857142857142,0.0810714285714285,0.0799999999999999,0.1044642857142857,0.0966071428571428,0.0823214285714285,0.0794642857142857,0.1125394844100265,0.0764285714285714,0.0826785714285714,0.0785714285714285,0.0753571428571428,0.0714285714285714,0.0842857142857143,0.0792857142857142,0.0783928571428571,0.0773214285714285,0.0821428571428571,0.125,0.07714285714285714,0.0782142857142857,0.0805357142857143
